lane,period,term,coefficient,std_error,p_value
history_reconstructed_common_sample,2006-2013,aq_history_reconstructed,-0.0029321993337447965,0.09445910692086645,0.9752360468653649
history_reconstructed_common_sample,2006-2013,aq_over_i,-0.08191573947773724,0.14249778110089012,0.5653885234067771
history_reconstructed_common_sample,2006-2013,over_i,-0.0012321883767268658,0.0031814056786531896,0.698527155231975
history_reconstructed_common_sample,2006-2013,log_assets,0.003480607107684137,0.00034362163648311736,4.1005307982941804e-24
history_reconstructed_common_sample,2006-2013,mtb,0.012770040435106905,0.0017515932615759218,3.087416926815346e-13
history_reconstructed_common_sample,2006-2013,tangibility,0.05897943135166032,0.004493853450705089,2.384545252309514e-39
history_reconstructed_common_sample,2006-2013,cfo_sales_reconstructed,0.028831169081954464,0.007982395077724495,0.0003040269592067981
history_reconstructed_common_sample,2006-2013,loss,-0.014931331854412115,0.0011038124660223937,1.0827519812626757e-41
cf_statement_common_sample,2006-2013,aq_cf_statement,0.008121355116441362,0.061612832582022006,0.8951324243797195
cf_statement_common_sample,2006-2013,aq_over_i,-0.07298587757474212,0.09788199373469872,0.45587782756091055
cf_statement_common_sample,2006-2013,over_i,-0.002087077813556873,0.003068719815601255,0.49643258899267917
cf_statement_common_sample,2006-2013,log_assets,0.003403216979861962,0.0003373787465082712,6.2920051022393326e-24
cf_statement_common_sample,2006-2013,mtb,0.012536278365507842,0.0017207894571877028,3.212169725198459e-13
cf_statement_common_sample,2006-2013,tangibility,0.057980169530159095,0.004565575232626415,5.956752379447886e-37
cf_statement_common_sample,2006-2013,cfo_sales_statement,0.03768683830983185,0.007966761272381046,2.239572634916632e-06
cf_statement_common_sample,2006-2013,loss,-0.014361168532975789,0.0011028178990247501,9.143834837427485e-39
